letter,thisN,thisTrialN,thisRepN,respp.keys,respp.rt,respp.duration,mainloop.thisRepN,mainloop.thisTrialN,mainloop.thisN,mainloop.thisIndex,thisRow.t,notes,Instructions.started,text.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,mainfixation.started,leterrrrrrr.started,respp.started,mainfixation.stopped,leterrrrrrr.stopped,respp.stopped,trial.stopped,mainloop.respp.keys,mainloop.respp.rt,mainloop.respp.duration,thanks_2.started,thankyou.started,end.started,thanks_2.stopped,end.keys,end.rt,end.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
F,29,29,0,space,0.5038908999413252,0.18258080002851784,0,29,29,29,63.00432670000009,,,,,,,,,62.98818769981153,63.00432670000009,63.20474259997718,63.20474259997718,63.20474259997718,63.90404419996776,64.70412139990367,64.68780319998041,space,0.5038908999413252,0.18258080002851784,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
H,30,30,0,None,,,0,30,30,30,64.70412139990367,,,,,,,,,64.68975329981185,64.70412139990367,64.90417489991523,64.90417489991523,64.90417489991523,65.60470329993404,66.40473439986818,66.38837089994922,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
J,31,31,0,None,,,0,31,31,31,66.40473439986818,,,,,,,,,66.39113150001504,66.40473439986818,66.60480989981443,66.60480989981443,66.60480989981443,67.3045730998274,68.10459450003691,68.08985539991409,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
L,32,32,0,None,,,0,32,32,32,68.10459450003691,,,,,,,,,68.09597210003994,68.10459450003691,68.30459950002842,68.30459950002842,68.30459950002842,69.00503310002387,69.80511229997501,69.78955979994498,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
L,33,33,0,space,0.6077922000549734,0.2079030000604689,0,33,33,33,69.80511229997501,,,,,,,,,69.79034469998442,69.80511229997501,70.00506989983842,70.00506989983842,70.00506989983842,70.72151799988933,71.5041832998395,71.48943069996312,space,0.6077922000549734,0.2079030000604689,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
N,34,34,0,None,,,0,34,34,34,71.5041832998395,,,,,,,,,71.49688140000217,71.5041832998395,71.70457169995643,71.70457169995643,71.70457169995643,72.40465359995142,73.2043753999751,73.18875389988534,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
P,35,35,0,None,,,0,35,35,35,73.2043753999751,,,,,,,,,73.19165049982257,73.2043753999751,73.40480299992487,73.40480299992487,73.40480299992487,74.10469780000858,74.90482069994323,74.88887389982119,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Q,36,36,0,None,,,0,36,36,36,74.90482069994323,,,,,,,,,74.89401619997807,74.90482069994323,75.10449819988571,75.10449819988571,75.10449819988571,75.80456959991716,76.60488929995336,76.58888609986752,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
Q,37,37,0,None,,,0,37,37,37,76.60488929995336,,,,,,,,,76.5892390999943,76.60488929995336,76.805049699964,76.805049699964,76.805049699964,77.50419000000693,78.30476139998063,78.28889769990928,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
S,38,38,0,None,,,0,38,38,38,78.30476139998063,,,,,,,,,78.29207409988157,78.30476139998063,78.50468089990318,78.50468089990318,78.50468089990318,79.20399839989841,80.0043726998847,79.98859449988231,None,,,,,,,,,,004,001,2025-11-19_17h02.08.671,N back,,2025.1.1,59.90000299641761,2025-11-19 17h02.15.827737 +0530,
