thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
130,0,130,[np.float64(-0.22870370370370371)],[np.float64(0.4861111111111111)],[1],[0],[0],[1.0994297999422997],[None],130,0,130,0,171.93751849979162,,10,171.931233599782,171.93751849979162,171.93751849979162,0.014704800210893154,173.0307784997858,[np.float64(-0.22870370370370371)],[np.float64(0.4861111111111111)],[1],[0],[0],[1.0994297999422997],[None],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
131,0,131,[np.float64(0.06759259259259259)],[np.float64(-0.2537037037037037)],[1],[0],[0],[1.4937199999112636],['target'],131,0,131,0,173.04572069994174,,5,173.0401190998964,173.04572069994174,173.04572069994174,0.0091283000074327,174.53392869979143,[np.float64(0.06759259259259259)],[np.float64(-0.2537037037037037)],[1],[0],[0],[1.4937199999112636],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
132,0,132,[np.float64(0.09814814814814815)],[np.float64(-0.01574074074074074)],[1],[0],[0],[1.1208903000224382],['target'],132,0,132,0,174.54825049987994,,5,174.543610899942,174.54825049987994,174.54825049987994,0.009539599996060133,175.66466279979795,[np.float64(0.09814814814814815)],[np.float64(-0.01574074074074074)],[1],[0],[0],[1.1208903000224382],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
133,0,133,[np.float64(-0.4425925925925926)],[np.float64(-0.36574074074074076)],[1],[0],[0],[1.386540099978447],['target'],133,0,133,0,175.68869659979828,,10,175.68270329991356,175.68869659979828,175.68869659979828,0.01779099996201694,177.06936359987594,[np.float64(-0.4425925925925926)],[np.float64(-0.36574074074074076)],[1],[0],[0],[1.386540099978447],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
134,0,134,[np.float64(-0.17407407407407408)],[np.float64(0.41574074074074074)],[1],[0],[0],[1.8479768000543118],['target'],134,0,134,0,177.09357799985446,,10,177.08708759979345,177.09357799985446,177.09357799985446,0.017504499992355704,178.93518629996106,[np.float64(-0.17407407407407408)],[np.float64(0.41574074074074074)],[1],[0],[0],[1.8479768000543118],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
135,0,135,[np.float64(-0.38333333333333336)],[np.float64(0.32314814814814813)],[1],[0],[0],[1.4486203999258578],['target'],135,0,135,0,178.95848179981112,,10,178.95185119984671,178.95848179981112,178.95848179981112,0.016444799955934286,180.40057449997403,[np.float64(-0.38333333333333336)],[np.float64(0.32314814814814813)],[1],[0],[0],[1.4486203999258578],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
136,0,136,[np.float64(0.003703703703703704)],[np.float64(0.34444444444444444)],[1],[0],[0],[1.1428802001755685],['target'],136,0,136,0,180.41421710001305,,5,180.409813700011,180.41421710001305,180.41421710001305,0.009019899880513549,181.5527842999436,[np.float64(0.003703703703703704)],[np.float64(0.34444444444444444)],[1],[0],[0],[1.1428802001755685],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
137,0,137,[np.float64(-0.12037037037037036)],[np.float64(-0.30277777777777776)],[1],[0],[0],[1.1369971001986414],['target'],137,0,137,0,181.5658320998773,,5,181.56129270000383,181.5658320998773,181.5658320998773,0.008352800039574504,182.69837769982405,[np.float64(-0.12037037037037036)],[np.float64(-0.30277777777777776)],[1],[0],[0],[1.1369971001986414],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
138,0,138,[np.float64(0.20277777777777778)],[np.float64(-0.18518518518518517)],[1],[0],[0],[1.221644900040701],['target'],138,0,138,0,182.71840339992195,,10,182.7122799998615,182.71840339992195,182.71840339992195,0.013752100057899952,183.93400209979154,[np.float64(0.20277777777777778)],[np.float64(-0.18518518518518517)],[1],[0],[0],[1.221644900040701],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
139,0,139,[np.float64(-0.1425925925925926)],[np.float64(0.4888888888888889)],[1],[0],[0],[1.1808843999169767],['target'],139,0,139,0,183.9582743998617,,10,183.95121799991466,183.9582743998617,183.9582743998617,0.01707499986514449,185.13217609981075,[np.float64(-0.1425925925925926)],[np.float64(0.4888888888888889)],[1],[0],[0],[1.1808843999169767],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
140,0,140,[np.float64(0.4675925925925926)],[np.float64(0.000925925925925926)],[1],[0],[0],[1.3604828999377787],['target'],140,0,140,0,185.14621069980785,,5,185.1414253998082,185.14621069980785,185.14621069980785,0.009103500051423907,186.50200589979067,[np.float64(0.4675925925925926)],[np.float64(0.000925925925925926)],[1],[0],[0],[1.3604828999377787],['target'],3,001,2025-09-30_15h49.08.701,Visual Search,,2025.1.1,59.91374820880244,2025-09-30 15h49.20.577847 +0530,
